subentry,X4file,target,reaction,measure,description,ENmin,ENmax,rows,uncertainties,authors,year,reference
"22359012","22359.x4","Be-9","N,EL","CS","Cross section for 9Be(n,Elastic)9Be","18.0","18.0","1"," ","M.Ibaraki,M.Baba,S.Matsuyama,T.Sanami,Than Win,T.Miura,N.Hirakawa","1998","J. of Nuclear Science and Technology,Tokyo 35,843 (1998); Conf.on Nucl.Data for Sci.and Techn.,Trieste 1997 1,610 (1997)"
"22359014","22359.x4","Be-9","N,EL","DA","Differential c/s with respect to angle for 9Be(n,Elastic)9Be","11.5","18.0","26"," ","M.Ibaraki,M.Baba,S.Matsuyama,T.Sanami,Than Win,T.Miura,N.Hirakawa","1998","J. of Nuclear Science and Technology,Tokyo 35,843 (1998); Conf.on Nucl.Data for Sci.and Techn.,Trieste 1997 1,610 (1997)"
"22510004","22510.x4","Be-9","N,G","CS","Maxwellian average Cross section for 9Be(n,gamma)10Be","2.53e-08","2.53e-08","1"," ","L.Jarczyk,J.Lang,R.Muller,W.Wolfli","1961","Helvetica Physica Acta 34,483 (1961)"
"22518015","22518.x4","Be-9","N,EL","CS","Maxwellian average Cross section for 9Be(n,Elastic)9Be","2.5299999999999998e-08","2.5299999999999998e-08","1"," ","M.Goldhaber,G.H.Briggs","1937","Proc. Royal Society (London),Series A 162,127 (1937)"
"22549002","22549.x4","Be-9","N,TOT","CS","Cross section for 9Be(n,Total)","2.7","2.7","1"," ","C.Thibault","1967","Report other than progress report: CEA-R-3124  (1967)"
"22559003","22559.x4","Be-9","N,TOT","CS","Cross section for 9Be(n,Total)","2.0","5.96","16"," ","G.H.Stafford","1951","Proc.Physical Society (London),Section A 64,388 (1951)"
"22573003","22573.x4","Be-9","N,TOT","CS","Cross section for 9Be(n,Total)","14.67","14.67","1"," ","D.Didier","1961","Journal de Physique,Suppl.A,Physique Appliquee 22,149 (1961)"
"22620002","22620.x4","Be-9","N,TOT","CS","Cross section for 9Be(n,Total)","1.2499999999999999e-06","5.2e-06","2"," ","L.Koester,W.Waschkowski","1972","Progress report: EANDC(E)-157 46 (1972)"
"22973002","22973.x4","Be-9","N,EL","DA","Differential c/s with respect to angle for 9Be(n,Elastic)9Be","7.1","9.97","156"," ","D.Schmidt,W.Mannhart,S.Khurana","2007","Report other than progress report: PTB-N-55  (2007)"
"22973004","22973.x4","Be-9","N,EL","DA","Differential c/s with respect to angle for 9Be(n,Elastic)9Be","7.1","9.97","28"," ","D.Schmidt,W.Mannhart,S.Khurana","2007","Report other than progress report: PTB-N-55  (2007)"
"22973006","22973.x4","Be-9","N,EL","CS","Cross section for 9Be(n,Elastic)9Be","7.1","9.97","4"," ","D.Schmidt,W.Mannhart,S.Khurana","2007","Report other than progress report: PTB-N-55  (2007)"
"22994002","22994.x4","Be-9","N,G","CS","Maxwellian average Cross section for 9Be(n,gamma)10Be","0.025","0.025","1"," ","A.Wallner,L.Coquard,I.Dillmann,O.Forstner,R.Golse,M.Heil,F.Kappeler,W.Kutschera,A.Mengoni,L.Michlmayr,A.Priller,P.Steier,M.Wiescher","2008","Jour. of Physics,Part G (Nucl.and Part.Phys.) 35,014018 (2008); Nucl. Instrum. Methods in Physics Res.,Sect.B 268,1277 (2010)"
"23055004","23055.x4","Be-9","N,2N","DA","Differential c/s with respect to angle for 9Be(n,2n)8Be","14.2","14.2","4"," ","I.Murata,S.Takaki,K.Shiken,K.Kondo,H.Miyamaru,K.Ochiai,T.Nishitani,C.Konno","2007","Conf.on Nucl.Data for Sci. and Technology,Nice 2007 2,999 (2007); Report containing conference proc.: JAEA-C-2005-009 95 (2006)"
"23055005","23055.x4","Be-9","N,2N","CS","Cross section for 9Be(n,2n)8Be","14.2","14.2","1"," ","I.Murata,S.Takaki,K.Shiken,K.Kondo,H.Miyamaru,K.Ochiai,T.Nishitani,C.Konno","2007","Conf.on Nucl.Data for Sci. and Technology,Nice 2007 2,999 (2007); Report containing conference proc.: JAEA-C-2005-009 95 (2006)"
"30113002","30113.x4","Be-9","N,TOT","CS","Cross section for 9Be(n,Total)","14.5","14.5","1"," ","I.Angeli,J.Csikai,I.Hunyadi","1970","Acta Physica Hungarica 28,87 (1970); Nuclear Physics,Section A 119,525 (1968); Physics Letters,Section B 29,36 (1969); Progress report: INDC(HUN)-1  (1970); Report other than progress report: IAEA-R-596-F  (1972)"
"30173002","30173.x4","Be-9","N,TOT","CS","Cross section for 9Be(n,Total)","13.73","14.6","21"," ","I.Hunyadi,I.Angeli","1968","Nuclear Physics,Section A 119,525 (1968); Private communication: Angeli  (1972)"
"30198002","30198.x4","Be-9","N,A","DA","Partial differential cross section d/dA for 9Be(n,alpha)6He","14.4","14.4","13"," ","G.Paic,D.Rendic,P.Tomas","1967","Nuclear Physics,Section A 96,476 (1967)"
"30198003","30198.x4","Be-9","N,A","CS","Partial cross section for 9Be(n,alpha)6He","14.4","14.4","1"," ","G.Paic,D.Rendic,P.Tomas","1967","Nuclear Physics,Section A 96,476 (1967)"
"30271002","30271.x4","Be-9","N,T","CS","Cross section for 9Be(n,t)7Li","14.7","14.7","1"," ","T.Biro,S.Sudar,J.Csikai,Z.Dezso","1975","Journal of Inorganic and Nuclear Chemistry 37,1583 (1975); Private communication: Csikai  (1974); 2.Conf.on Neutron Physics,Kiev 1973 3,85 (1973); Nucl.Structure Conf.,Budapest 1972 ,(A65) (1972); Progress report: INDC(HUN)-11 4 (1973)"
